# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
uniprotkb:P68133	uniprotkb:Q9UQM7	uniprotkb:P02568|uniprotkb:P99020|uniprotkb:Q5T8M9|ensembl:ENSP00000355645.3|intact:EBI-367510|uniprotkb:P68133	uniprotkb:Q9UL21|uniprotkb:Q9Y2H4|uniprotkb:Q9Y352|ensembl:ENSP00000261793.8|ensembl:ENSP00000500642.1|intact:EBI-1383687|uniprotkb:Q9UQM7	psi-mi:acts_human(display_short)|psi-mi:Actin, alpha skeletal muscle(display_long)|uniprotkb:ACTA1(gene name)|uniprotkb:Alpha-actin-1(gene name synonym)|uniprotkb:ACTA(gene name synonym)|IntAct:"clone id: CCSB_6410"(author assigned name)	psi-mi:kcc2a_human(display_short)|psi-mi:Calcium/calmodulin-dependent protein kinase type II subunit alpha(display_long)|uniprotkb:CAMK2A(gene name)|uniprotkb:KIAA0968(gene name synonym)|uniprotkb:CAMKA(gene name synonym)|IntAct:"clone id: IOH26807"(author assigned name)	psi-mi:"MI:0398"(two hybrid pooling approach)	Haenig C. et al.(2020)	intact:EBI-25827495|doi:10.1016/j.celrep.2020.108050|pubmed:32814053|imex:IM-28217	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25987950|imex:IM-28217-12049	intact-miscore:0.56	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	refseq:NP_001091.1|reactome:R-HSA-9913351|reactome:R-HSA-390522|rcsb pdb:9DUV|rcsb pdb:9DUU|rcsb pdb:7RNV|rcsb pdb:7RNU|rcsb pdb:7RNS|mint:P68133|interpro:IPR043129|interpro:IPR020902|interpro:IPR004001|interpro:IPR004000|iedb:926232(see-also)|iedb:882490(see-also)|iedb:879741(see-also)|iedb:877453(see-also)|iedb:788838(see-also)|iedb:775625(see-also)|iedb:535266(see-also)|iedb:530367(see-also)|iedb:530366(see-also)|iedb:524924(see-also)|iedb:523601(see-also)|iedb:518427(see-also)|iedb:518426(see-also)|iedb:518425(see-also)|iedb:514664(see-also)|iedb:514663(see-also)|iedb:514662(see-also)|iedb:503882(see-also)|iedb:439300(see-also)|iedb:437032(see-also)|efo:"Orphanet:171430"|efo:"Orphanet:171433"|efo:"Orphanet:171436"|efo:"Orphanet:171439"|efo:"Orphanet:2020"|efo:"Orphanet:447977"|efo:"Orphanet:97240"|efo:"Orphanet:97244"|efo:"Orphanet:98904"|panther:PTHR11937(orthology-group)|ensembl:ENSG00000143632.15(gene)|ensembl:ENST00000366684.7(transcript)|go:"GO:0001725"|go:"GO:0005200"|go:"GO:0005524"|go:"GO:0005615"|go:"GO:0005829"|go:"GO:0005865"|go:"GO:0005884"|go:"GO:0006936"|go:"GO:0010628"|go:"GO:0015629"|go:"GO:0016787"|go:"GO:0017022"|go:"GO:0030017"|go:"GO:0030027"|go:"GO:0030175"|go:"GO:0030240"|go:"GO:0043531"|go:"GO:0044297"|go:"GO:0048741"|go:"GO:0070062"|go:"GO:0072562"|go:"GO:0090131"|iedb:1118207(see-also)|iedb:1123650(see-also)|iedb:1736839(see-also)|iedb:177106(see-also)|iedb:2268421(see-also)|iedb:242203(see-also)|entrezgene/locuslink:58(identity)	refseq:NP_741960.1|refseq:NP_001350919.1|refseq:NP_001350918.1|reactome:R-HSA-9656223|reactome:R-HSA-9649948|reactome:R-HSA-9620244|reactome:R-HSA-9617324|reactome:R-HSA-9609736|reactome:R-HSA-936837|reactome:R-HSA-9022692|reactome:R-HSA-877300|reactome:R-HSA-6802955|reactome:R-HSA-6802952|reactome:R-HSA-6802946|reactome:R-HSA-5673001|reactome:R-HSA-5673000|reactome:R-HSA-5578775|reactome:R-HSA-5576892|reactome:R-HSA-442982|reactome:R-HSA-438066|reactome:R-HSA-4086398|reactome:R-HSA-399719|reactome:R-HSA-3371571|reactome:R-HSA-111932|rcsb pdb:9EOY|rcsb pdb:7UJT|rcsb pdb:7UJS|rcsb pdb:7UJR|rcsb pdb:7UJQ|rcsb pdb:7UJP|rcsb pdb:7UIS|rcsb pdb:7UIR|rcsb pdb:7UIQ|rcsb pdb:7REC|rcsb pdb:7KL2|rcsb pdb:7KL1|rcsb pdb:7KL0|rcsb pdb:6X5Q|rcsb pdb:6X5G|rcsb pdb:6W4P|rcsb pdb:6W4O|rcsb pdb:6VZK|rcsb pdb:6OF8|rcsb pdb:5IG3|rcsb pdb:3SOA|rcsb pdb:2VZ6|mint:Q9UQM7|interpro:IPR032710|interpro:IPR017441|interpro:IPR013543|interpro:IPR011009|interpro:IPR008271|interpro:IPR000719|iedb:934977(see-also)|iedb:758335(see-also)|iedb:710440(see-also)|iedb:607955(see-also)|iedb:240184(see-also)|iedb:1228948(see-also)|go:"GO:2001222"|go:"GO:2000124"|go:"GO:1990443"|go:"GO:1903076"|go:"GO:1902108"|go:"GO:0106310"|go:"GO:0071346"|go:"GO:0060996"|efo:"Orphanet:178469"|dip:DIP-39705N|panther:PTHR24347(orthology-group)|ensembl:ENSG00000070808.17(gene)|ensembl:ENST00000348628.11(transcript)|ensembl:ENST00000672479.1(transcript)|go:"GO:0000082"|go:"GO:0002931"|go:"GO:0004674"|go:"GO:0004683"|go:"GO:0005516"|go:"GO:0005524"|go:"GO:0005634"|go:"GO:0005654"|go:"GO:0005737"|go:"GO:0005739"|go:"GO:0005829"|go:"GO:0005954"|go:"GO:0006468"|go:"GO:0006816"|go:"GO:0010666"|go:"GO:0014069"|go:"GO:0016301"|go:"GO:0030666"|go:"GO:0035254"|go:"GO:0035458"|go:"GO:0038166"|go:"GO:0042802"|go:"GO:0042803"|go:"GO:0043005"|go:"GO:0043197"|go:"GO:0046427"|go:"GO:0046872"|go:"GO:0046928"|go:"GO:0048168"|go:"GO:0051092"|go:"GO:0051346"|go:"GO:0051928"|go:"GO:0060291"|entrezgene/locuslink:815(identity)		-	-	figure legend:Table S2|full coverage:Only protein-protein interactions	taxid:4932(yeasx)|taxid:4932("Saccharomyces cerevisiae (Baker's yeast)")	-	2020/09/16	2026/01/11	crc64:DF2A3A046346A179	crc64:208143A311BA9262	-	-	-	-	0	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P13693	uniprotkb:P68133	uniprotkb:Q6YLS2|uniprotkb:Q7Z4J4|uniprotkb:Q96EE2|uniprotkb:Q9UC70|intact:EBI-1058458|uniprotkb:B2R7E5|intact:EBI-5772926|uniprotkb:Q8TBK7|ensembl:ENSP00000431872.2|intact:EBI-1783169|uniprotkb:P13693	uniprotkb:P02568|uniprotkb:P99020|uniprotkb:Q5T8M9|ensembl:ENSP00000355645.3|intact:EBI-367510|uniprotkb:P68133	psi-mi:tctp_human(display_short)|psi-mi:Translationally-controlled tumor protein(display_long)|uniprotkb:TPT1(gene name)|uniprotkb:Fortilin(gene name synonym)|uniprotkb:Histamine-releasing factor(gene name synonym)|uniprotkb:p23(gene name synonym)	psi-mi:acts_human(display_short)|psi-mi:Actin, alpha skeletal muscle(display_long)|uniprotkb:ACTA1(gene name)|uniprotkb:Alpha-actin-1(gene name synonym)|uniprotkb:ACTA(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Li S. et al.(2016)	intact:EBI-20976920|pubmed:27607350|imex:IM-26669	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-20992046|imex:IM-26669-17	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	panther:PTHR11991(orthology-group)|refseq:NP_003286.1|refseq:NP_001273202.1|rcsb pdb:6IZE|rcsb pdb:6IZB|rcsb pdb:5O9M|rcsb pdb:5O9L|rcsb pdb:4Z9V|rcsb pdb:3EBM|rcsb pdb:2HR9|rcsb pdb:1YZ1|mint:P13693|interpro:IPR034737|interpro:IPR018105|interpro:IPR018103|interpro:IPR011323|interpro:IPR011057|iedb:987380(see-also)|iedb:951616(see-also)|iedb:950640(see-also)|iedb:926018(see-also)|iedb:923291(see-also)|iedb:915196(see-also)|iedb:892245(see-also)|iedb:860749(see-also)|iedb:845886(see-also)|iedb:831692(see-also)|iedb:742799(see-also)|iedb:710573(see-also)|iedb:704225(see-also)|iedb:697236(see-also)|iedb:697217(see-also)|iedb:666882(see-also)|iedb:644732(see-also)|iedb:644731(see-also)|iedb:642596(see-also)|iedb:631701(see-also)|iedb:607350(see-also)|iedb:588065(see-also)|iedb:568860(see-also)|iedb:504858(see-also)|iedb:483831(see-also)|iedb:483255(see-also)|iedb:479277(see-also)|iedb:478433(see-also)|iedb:477501(see-also)|iedb:475262(see-also)|iedb:461567(see-also)|iedb:455030(see-also)|iedb:447589(see-also)|iedb:446876(see-also)|iedb:241973(see-also)|iedb:2262908(see-also)|iedb:2158995(see-also)|iedb:213210(see-also)|iedb:2000776(see-also)|iedb:1995794(see-also)|iedb:1985922(see-also)|iedb:1978390(see-also)|iedb:1978388(see-also)|iedb:1976303(see-also)|iedb:1887164(see-also)|iedb:1860679(see-also)|iedb:1858930(see-also)|iedb:1825148(see-also)|iedb:1811142(see-also)|iedb:1783210(see-also)|iedb:1775642(see-also)|iedb:1775640(see-also)|iedb:1775639(see-also)|iedb:177223(see-also)|iedb:1766665(see-also)|iedb:1766664(see-also)|iedb:1743445(see-also)|iedb:1714138(see-also)|iedb:1713286(see-also)|iedb:1612813(see-also)|iedb:1605525(see-also)|iedb:1584932(see-also)|iedb:1583288(see-also)|iedb:1578417(see-also)|iedb:1577208(see-also)|dip:DIP-40097N|ensembl:ENSG00000133112.17(gene)|ensembl:ENST00000530705.6(transcript)|go:"GO:0000922"|go:"GO:0003723"|go:"GO:0005509"|go:"GO:0005615"|go:"GO:0005634"|go:"GO:0005654"|go:"GO:0005737"|go:"GO:0005771"|go:"GO:0005829"|go:"GO:0005881"|go:"GO:0006816"|go:"GO:0006874"|go:"GO:0009615"|go:"GO:0019827"|go:"GO:0042981"|go:"GO:0043066"|go:"GO:0070062"|go:"GO:0140297"|go:"GO:1902230"|go:"GO:2000384"|iedb:1022400(see-also)|iedb:1040737(see-also)|iedb:1049029(see-also)|iedb:1057836(see-also)|iedb:1078189(see-also)|iedb:1078562(see-also)|iedb:1078848(see-also)|iedb:1106892(see-also)|iedb:1124652(see-also)|iedb:1128093(see-also)|iedb:1306284(see-also)|iedb:1348806(see-also)	refseq:NP_001091.1|reactome:R-HSA-9913351|reactome:R-HSA-390522|rcsb pdb:9DUV|rcsb pdb:9DUU|rcsb pdb:7RNV|rcsb pdb:7RNU|rcsb pdb:7RNS|mint:P68133|interpro:IPR043129|interpro:IPR020902|interpro:IPR004001|interpro:IPR004000|iedb:926232(see-also)|iedb:882490(see-also)|iedb:879741(see-also)|iedb:877453(see-also)|iedb:788838(see-also)|iedb:775625(see-also)|iedb:535266(see-also)|iedb:530367(see-also)|iedb:530366(see-also)|iedb:524924(see-also)|iedb:523601(see-also)|iedb:518427(see-also)|iedb:518426(see-also)|iedb:518425(see-also)|iedb:514664(see-also)|iedb:514663(see-also)|iedb:514662(see-also)|iedb:503882(see-also)|iedb:439300(see-also)|iedb:437032(see-also)|efo:"Orphanet:171430"|efo:"Orphanet:171433"|efo:"Orphanet:171436"|efo:"Orphanet:171439"|efo:"Orphanet:2020"|efo:"Orphanet:447977"|efo:"Orphanet:97240"|efo:"Orphanet:97244"|efo:"Orphanet:98904"|panther:PTHR11937(orthology-group)|ensembl:ENSG00000143632.15(gene)|ensembl:ENST00000366684.7(transcript)|go:"GO:0001725"|go:"GO:0005200"|go:"GO:0005524"|go:"GO:0005615"|go:"GO:0005829"|go:"GO:0005865"|go:"GO:0005884"|go:"GO:0006936"|go:"GO:0010628"|go:"GO:0015629"|go:"GO:0016787"|go:"GO:0017022"|go:"GO:0030017"|go:"GO:0030027"|go:"GO:0030175"|go:"GO:0030240"|go:"GO:0043531"|go:"GO:0044297"|go:"GO:0048741"|go:"GO:0070062"|go:"GO:0072562"|go:"GO:0090131"|iedb:1118207(see-also)|iedb:1123650(see-also)|iedb:1736839(see-also)|iedb:177106(see-also)|iedb:2268421(see-also)|iedb:242203(see-also)		-	-	figure legend:ST2 F1 F2|full coverage:Only protein-protein interactions	taxid:9606(human-hela)|taxid:9606(Homo sapiens HeLa epitheloid cervical carcinoma cell)	-	2018/11/29	2026/01/11	crc64:BD31399B71CA62F9	crc64:DF2A3A046346A179	-	-	-	-	0	0	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
uniprotkb:Q0VD86	uniprotkb:P68133	ensembl:ENSP00000458316.1|ensembl:ENSP00000460673.1|ensembl:ENSP00000511805.1|uniprotkb:Q6J273|uniprotkb:Q6PKN9|intact:EBI-6509505|uniprotkb:Q0VD86	uniprotkb:P02568|uniprotkb:P99020|uniprotkb:Q5T8M9|ensembl:ENSP00000355645.3|intact:EBI-367510|uniprotkb:P68133	psi-mi:inca1_human(display_short)|psi-mi:Protein INCA1(display_long)|uniprotkb:INCA1(gene name)|uniprotkb:Inhibitor of CDK interacting with cyclin A1(gene name synonym)|uniprotkb:HSD45(orf name)|IntAct:"clone id: CCSB_56442"(author assigned name)	psi-mi:acts_human(display_short)|psi-mi:Actin, alpha skeletal muscle(display_long)|uniprotkb:ACTA1(gene name)|uniprotkb:Alpha-actin-1(gene name synonym)|uniprotkb:ACTA(gene name synonym)|IntAct:"clone id: CCSB_6410"(author assigned name)	psi-mi:"MI:0398"(two hybrid pooling approach)	Haenig C. et al.(2020)	intact:EBI-25827495|doi:10.1016/j.celrep.2020.108050|pubmed:32814053|imex:IM-28217	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25987992|imex:IM-28217-47869	intact-miscore:0.56	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	ensembl:ENSG00000196388.9(gene)|ensembl:ENST00000574617.1(transcript)|ensembl:ENST00000576820.5(transcript)|ensembl:ENST00000695324.1(transcript)|go:"GO:0004861"|go:"GO:0005634"|go:"GO:0005654"|go:"GO:0005737"|go:"GO:0008285"|go:"GO:0016604"|go:"GO:0030332"|go:"GO:0042802"|go:"GO:0044877"|go:"GO:0045736"|go:"GO:0048144"|go:"GO:0048147"|go:"GO:0097190"|go:"GO:2001235"|iedb:997611(see-also)|interpro:IPR026238|mint:Q0VD86|refseq:NP_001161457.1|refseq:NP_001161458.1|refseq:NP_001161459.1|refseq:NP_001381717.1|refseq:NP_001381718.1|refseq:NP_001381719.1|refseq:NP_001381720.1|refseq:NP_998891.2|refseq:XP_005256684.1|refseq:XP_005256685.1|refseq:XP_005256686.1|refseq:XP_006721580.1|refseq:XP_006721581.1|refseq:XP_006721582.1|refseq:XP_011522134.1|panther:PTHR37341(orthology-group)|entrezgene/locuslink:388324(identity)	refseq:NP_001091.1|reactome:R-HSA-9913351|reactome:R-HSA-390522|rcsb pdb:9DUV|rcsb pdb:9DUU|rcsb pdb:7RNV|rcsb pdb:7RNU|rcsb pdb:7RNS|mint:P68133|interpro:IPR043129|interpro:IPR020902|interpro:IPR004001|interpro:IPR004000|iedb:926232(see-also)|iedb:882490(see-also)|iedb:879741(see-also)|iedb:877453(see-also)|iedb:788838(see-also)|iedb:775625(see-also)|iedb:535266(see-also)|iedb:530367(see-also)|iedb:530366(see-also)|iedb:524924(see-also)|iedb:523601(see-also)|iedb:518427(see-also)|iedb:518426(see-also)|iedb:518425(see-also)|iedb:514664(see-also)|iedb:514663(see-also)|iedb:514662(see-also)|iedb:503882(see-also)|iedb:439300(see-also)|iedb:437032(see-also)|efo:"Orphanet:171430"|efo:"Orphanet:171433"|efo:"Orphanet:171436"|efo:"Orphanet:171439"|efo:"Orphanet:2020"|efo:"Orphanet:447977"|efo:"Orphanet:97240"|efo:"Orphanet:97244"|efo:"Orphanet:98904"|panther:PTHR11937(orthology-group)|ensembl:ENSG00000143632.15(gene)|ensembl:ENST00000366684.7(transcript)|go:"GO:0001725"|go:"GO:0005200"|go:"GO:0005524"|go:"GO:0005615"|go:"GO:0005829"|go:"GO:0005865"|go:"GO:0005884"|go:"GO:0006936"|go:"GO:0010628"|go:"GO:0015629"|go:"GO:0016787"|go:"GO:0017022"|go:"GO:0030017"|go:"GO:0030027"|go:"GO:0030175"|go:"GO:0030240"|go:"GO:0043531"|go:"GO:0044297"|go:"GO:0048741"|go:"GO:0070062"|go:"GO:0072562"|go:"GO:0090131"|iedb:1118207(see-also)|iedb:1123650(see-also)|iedb:1736839(see-also)|iedb:177106(see-also)|iedb:2268421(see-also)|iedb:242203(see-also)|entrezgene/locuslink:58(identity)		-	-	figure legend:Table S2|full coverage:Only protein-protein interactions	taxid:4932(yeasx)|taxid:4932("Saccharomyces cerevisiae (Baker's yeast)")	-	2020/09/16	2026/01/11	crc64:A9808D24144AB07D	crc64:DF2A3A046346A179	-	-	-	-	0	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:Q6ZQX7-4	uniprotkb:P68133	intact:EBI-25830459|uniprotkb:Q6ZQX7-4	uniprotkb:P02568|uniprotkb:P99020|uniprotkb:Q5T8M9|ensembl:ENSP00000355645.3|intact:EBI-367510|uniprotkb:P68133	psi-mi:q6zqx74(display_short)|psi-mi:Isoform 4 of Protein LIAT1(display_long)|uniprotkb:C17orf97(gene name synonym)|uniprotkb:LIAT1(gene name)|IntAct:"clone id: CCSB_14418"(author assigned name)	psi-mi:acts_human(display_short)|psi-mi:Actin, alpha skeletal muscle(display_long)|uniprotkb:ACTA1(gene name)|uniprotkb:Alpha-actin-1(gene name synonym)|uniprotkb:ACTA(gene name synonym)|IntAct:"clone id: CCSB_6410"(author assigned name)	psi-mi:"MI:0398"(two hybrid pooling approach)	Haenig C. et al.(2020)	intact:EBI-25827495|doi:10.1016/j.celrep.2020.108050|pubmed:32814053|imex:IM-28217	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-25988000|imex:IM-28217-71349	intact-miscore:0.56	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	uniprotkb:Q6ZQX7-4(isoform-parent)|entrezgene/locuslink:400566(identity)	refseq:NP_001091.1|reactome:R-HSA-9913351|reactome:R-HSA-390522|rcsb pdb:9DUV|rcsb pdb:9DUU|rcsb pdb:7RNV|rcsb pdb:7RNU|rcsb pdb:7RNS|mint:P68133|interpro:IPR043129|interpro:IPR020902|interpro:IPR004001|interpro:IPR004000|iedb:926232(see-also)|iedb:882490(see-also)|iedb:879741(see-also)|iedb:877453(see-also)|iedb:788838(see-also)|iedb:775625(see-also)|iedb:535266(see-also)|iedb:530367(see-also)|iedb:530366(see-also)|iedb:524924(see-also)|iedb:523601(see-also)|iedb:518427(see-also)|iedb:518426(see-also)|iedb:518425(see-also)|iedb:514664(see-also)|iedb:514663(see-also)|iedb:514662(see-also)|iedb:503882(see-also)|iedb:439300(see-also)|iedb:437032(see-also)|efo:"Orphanet:171430"|efo:"Orphanet:171433"|efo:"Orphanet:171436"|efo:"Orphanet:171439"|efo:"Orphanet:2020"|efo:"Orphanet:447977"|efo:"Orphanet:97240"|efo:"Orphanet:97244"|efo:"Orphanet:98904"|panther:PTHR11937(orthology-group)|ensembl:ENSG00000143632.15(gene)|ensembl:ENST00000366684.7(transcript)|go:"GO:0001725"|go:"GO:0005200"|go:"GO:0005524"|go:"GO:0005615"|go:"GO:0005829"|go:"GO:0005865"|go:"GO:0005884"|go:"GO:0006936"|go:"GO:0010628"|go:"GO:0015629"|go:"GO:0016787"|go:"GO:0017022"|go:"GO:0030017"|go:"GO:0030027"|go:"GO:0030175"|go:"GO:0030240"|go:"GO:0043531"|go:"GO:0044297"|go:"GO:0048741"|go:"GO:0070062"|go:"GO:0072562"|go:"GO:0090131"|iedb:1118207(see-also)|iedb:1123650(see-also)|iedb:1736839(see-also)|iedb:177106(see-also)|iedb:2268421(see-also)|iedb:242203(see-also)|entrezgene/locuslink:58(identity)		-	-	figure legend:Table S2|full coverage:Only protein-protein interactions	taxid:4932(yeasx)|taxid:4932("Saccharomyces cerevisiae (Baker's yeast)")	-	2020/09/16	2026/01/11	-	crc64:DF2A3A046346A179	-	-	-	-	0	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:Q96PV4	uniprotkb:P68133	uniprotkb:Q8NET3|uniprotkb:B4DI72|uniprotkb:Q495L5|uniprotkb:B7Z9Y9|ensembl:ENSP00000354834.5|ensembl:ENSP00000388850.1|ensembl:ENSP00000392342.1|ensembl:ENSP00000445775.1|ensembl:ENSP00000517983.1|ensembl:ENSP00000517984.1|ensembl:ENSP00000517985.1|ensembl:ENSP00000517986.1|intact:EBI-10171633|uniprotkb:Q96PV4	uniprotkb:P02568|uniprotkb:P99020|uniprotkb:Q5T8M9|ensembl:ENSP00000355645.3|intact:EBI-367510|uniprotkb:P68133	psi-mi:pnma5_human(display_short)|psi-mi:Paraneoplastic antigen-like protein 5(display_long)|uniprotkb:PNMA5(gene name)|uniprotkb:Tumor antigen BJ-HCC-25(gene name synonym)|uniprotkb:KIAA1934(gene name synonym)|IntAct:"clone id: CCSB_55921"(author assigned name)	psi-mi:acts_human(display_short)|psi-mi:Actin, alpha skeletal muscle(display_long)|uniprotkb:ACTA1(gene name)|uniprotkb:Alpha-actin-1(gene name synonym)|uniprotkb:ACTA(gene name synonym)|IntAct:"clone id: CCSB_6410"(author assigned name)	psi-mi:"MI:1356"(validated two hybrid)	Haenig C. et al.(2020)	intact:EBI-25827495|doi:10.1016/j.celrep.2020.108050|pubmed:32814053|imex:IM-28217	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-26142123|imex:IM-28217-43863	intact-miscore:0.56	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	panther:PTHR23095(orthology-group)|ensembl:ENSG00000198883.12(gene)|ensembl:ENSG00000292194.1(gene)|ensembl:ENST00000361887.5(transcript)|ensembl:ENST00000439251.3(transcript)|ensembl:ENST00000452693.5(transcript)|ensembl:ENST00000535214.6(transcript)|ensembl:ENST00000710002.1(transcript)|ensembl:ENST00000710003.1(transcript)|ensembl:ENST00000710004.1(transcript)|ensembl:ENST00000710005.1(transcript)|go:"GO:0005634"|go:"GO:0042802"|go:"GO:0043065"|iedb:2008817(see-also)|iedb:2067292(see-also)|iedb:2069659(see-also)|iedb:765932(see-also)|iedb:775646(see-also)|interpro:IPR026523|interpro:IPR048270|interpro:IPR048271|refseq:NP_001096620.1|refseq:NP_001096621.1|refseq:NP_001171853.1|refseq:NP_443158.1|refseq:XP_016884741.1|refseq:XP_016884742.1|refseq:XP_054182396.1|refseq:XP_054182397.1|refseq:XP_054189308.1|refseq:XP_054189309.1|entrezgene/locuslink:114824(identity)	refseq:NP_001091.1|reactome:R-HSA-9913351|reactome:R-HSA-390522|rcsb pdb:9DUV|rcsb pdb:9DUU|rcsb pdb:7RNV|rcsb pdb:7RNU|rcsb pdb:7RNS|mint:P68133|interpro:IPR043129|interpro:IPR020902|interpro:IPR004001|interpro:IPR004000|iedb:926232(see-also)|iedb:882490(see-also)|iedb:879741(see-also)|iedb:877453(see-also)|iedb:788838(see-also)|iedb:775625(see-also)|iedb:535266(see-also)|iedb:530367(see-also)|iedb:530366(see-also)|iedb:524924(see-also)|iedb:523601(see-also)|iedb:518427(see-also)|iedb:518426(see-also)|iedb:518425(see-also)|iedb:514664(see-also)|iedb:514663(see-also)|iedb:514662(see-also)|iedb:503882(see-also)|iedb:439300(see-also)|iedb:437032(see-also)|efo:"Orphanet:171430"|efo:"Orphanet:171433"|efo:"Orphanet:171436"|efo:"Orphanet:171439"|efo:"Orphanet:2020"|efo:"Orphanet:447977"|efo:"Orphanet:97240"|efo:"Orphanet:97244"|efo:"Orphanet:98904"|panther:PTHR11937(orthology-group)|ensembl:ENSG00000143632.15(gene)|ensembl:ENST00000366684.7(transcript)|go:"GO:0001725"|go:"GO:0005200"|go:"GO:0005524"|go:"GO:0005615"|go:"GO:0005829"|go:"GO:0005865"|go:"GO:0005884"|go:"GO:0006936"|go:"GO:0010628"|go:"GO:0015629"|go:"GO:0016787"|go:"GO:0017022"|go:"GO:0030017"|go:"GO:0030027"|go:"GO:0030175"|go:"GO:0030240"|go:"GO:0043531"|go:"GO:0044297"|go:"GO:0048741"|go:"GO:0070062"|go:"GO:0072562"|go:"GO:0090131"|iedb:1118207(see-also)|iedb:1123650(see-also)|iedb:1736839(see-also)|iedb:177106(see-also)|iedb:2268421(see-also)|iedb:242203(see-also)|entrezgene/locuslink:58(identity)		-	-	figure legend:Table S2|full coverage:Only protein-protein interactions	taxid:4932(yeasx)|taxid:4932("Saccharomyces cerevisiae (Baker's yeast)")	-	2020/09/16	2026/01/11	crc64:5F6BC8A15B457A89	crc64:DF2A3A046346A179	-	-	-	-	0	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
